title	group	link
Marleen Huysman	KIN	http://www.kinresearch.nl/person/marleen-huysman/
Bart van den Hooff	KIN	http://www.kinresearch.nl/person/bart-van-den-hooff/
Hans Berends	KIN	http://www.kinresearch.nl/hans-berends/
Frans Feldberg	KIN	http://www.kinresearch.nl/frans-feldberg/
Maura Soekijad	KIN	http://www.kinresearch.nl/maura-soekijad/
Philipp Tuertscher	KIN	http://www.kinresearch.nl/philipp-tuertscher/
Tibert Verhagen	KIN	http://www.kinresearch.nl/tibert-verhagen/
Marlous Agterberg	KIN	http://www.kinresearch.nl/marlous-agterberg/
Fleur Deken	KIN	http://www.kinresearch.nl/fleur-deken/
Rosalinde Klein Woolthuis	KIN	http://www.kinresearch.nl/rosalinde-klein-woolthuis/
Marijn Plomp	KIN	http://www.kinresearch.nl/marijn-plomp/
Inge van de Weerd	KIN	http://www.kinresearch.nl/inge-van-de-weerd/
Anastasia Sergeeva	KIN	http://www.kinresearch.nl/anastasia-segreeva/
Tommaso Caselli	CLTL	http://vupr.academia.edu/TommasoCaselli
Minhs virtual lab	CLTL	http://minhlab.wordpress.com/
Ben Peperkamp	L&S	http://literatuurensamenleving.nl/medewerkers/prof-dr-ben-peperkamp/
Petra Bos	CIW	http://www.vu-ciw.nl/over-ons/docenten/petra-bos/
Nel de Jong	CIW	http://www.vu-ciw.nl/over-ons/docenten/nel-de-jong/
Martijn Kleppe	CIW	http://www.martijnkleppe.nl/
Marca Schasfoort	CIW	http://www.vu-ciw.nl/over-ons/docenten/marca-schasfoort/
Wouter van Atteveldt	CW	http://vanatteveldt.com/
Dr. Jos Bartels	CW	http://www.fsw.vu.nl/en/departments/communication-science/staff/bartels/index.aspx
Dr. Camiel J. Beukeboom	CW	http://www.fsw.vu.nl/en/departments/communication-science/staff/beukeboom/index.aspx
Chei J. Billedo, MSc	CW	http://www.fsw.vu.nl/en/departments/communication-science/staff/billedo/index.aspx
Nicoleta Balau, MSc	CW	http://www.fsw.vu.nl/en/departments/communication-science/staff/balau/index.aspx
Dr. Christian Burgers	CW	http://www.fsw.vu.nl/en/departments/communication-science/staff/burgers/index.aspx
Prof. Dr. Brad J. Bushman	CW	http://www.fsw.vu.nl/en/departments/communication-science/staff/bushman/index.aspx
Dr. Allison L. Eden	CW	http://www.fsw.vu.nl/en/departments/communication-science/staff/eden/index.aspx
Anouk den Hamer, MSc	CW	http://www.fsw.vu.nl/en/departments/communication-science/staff/Hamer/index.aspx
Dr. Tilo Hartmann	CW	http://www.fsw.vu.nl/en/departments/communication-science/staff/hartmann/index.aspx
Britt Hoeksema, MSc	CW	http://www.fsw.vu.nl/en/departments/communication-science/staff/hoeksema/index.aspx
Dr. Anita M. J. van Hoof	CW	http://www.fsw.vu.nl/en/departments/communication-science/staff/van-hoof/index.aspx
Dr. B.K. Johnson	CW	http://www.fsw.vu.nl/en/departments/communication-science/staff/johnson/index.aspx
Prof. dr. Peter Kerkhof	CW	http://www.fsw.vu.nl/en/departments/communication-science/staff/kerkhof/index.aspx
Prof. dr. Jan Kleinnijenhuis	CW	http://www.fsw.vu.nl/en/departments/communication-science/staff/kleinnijenhuis/index.aspx
Celine Klemm, MSc	CW	http://www.fsw.vu.nl/en/departments/communication-science/staff/klemm/index.aspx
Prof.dr. Elly A. Konijn	CW	http://www.fsw.vu.nl/en/departments/communication-science/staff/konijn/index.aspx
Dr. Guido M. van Koningsbruggen	CW	http://www.fsw.vu.nl/en/departments/communication-science/staff/van-koningsbruggen/index.aspx
Dr. Andre P.M. Krouwel	CW	http://www.fsw.vu.nl/en/departments/communication-science/staff/krouwel/index.aspx
Dr. Dirk Oegema	CW	http://www.fsw.vu.nl/en/departments/communication-science/staff/oegema/index.aspx
Dr. Jaap W. Ouwerkerk	CW	http://www.fsw.vu.nl/en/departments/communication-science/staff/ouwerkerk/index.aspx
Plaisier, X.S.	CW	http://www.fsw.vu.nl/en/departments/communication-science/staff/plaisier/index.aspx
Drs. Fam te Poel	CW	http://www.fsw.vu.nl/en/departments/communication-science/staff/te-poel/index.aspx
Dr. A.M. van Prooijen	CW	http://www.fsw.vu.nl/en/departments/communication-science/staff/van-prooijen/index.aspx
Dr. Giulia Ranzini	CW	http://www.fsw.vu.nl/en/departments/communication-science/staff/ranzini/index.aspx
Drs. D.J. Schutten	CW	http://www.fsw.vu.nl/en/departments/communication-science/staff/schutten/index.aspx
Drs. Marloes L.C. Spekman	CW	http://www.fsw.vu.nl/en/departments/communication-science/staff/spekman/index.aspx
Dr. Martin Tanis	CW	http://www.fsw.vu.nl/en/departments/communication-science/staff/tanis/index.aspx
Dr. Jolanda Veldhuis	CW	http://www.fsw.vu.nl/en/departments/communication-science/staff/veldhuis/index.aspx
Dr. Ivar E. Vermeulen	CW	http://www.fsw.vu.nl/en/departments/communication-science/staff/vermeulen/index.aspx
Kasper Welbers, MSc	CW	http://www.fsw.vu.nl/en/departments/communication-science/staff/welbers/index.aspx
Dr. Coen Wirtz	CW	http://www.fsw.vu.nl/en/departments/communication-science/staff/wirtz/index.aspx
dr. J.W. Dyk	ETCBC	http://www.godgeleerdheid.vu.nl/nl/over-de-faculteit/medewerkers/wetenschappelijk-personeel-a-f/dyk.aspx
Dr O. Glanz	ETCBC	http://www.godgeleerdheid.vu.nl/nl/over-de-faculteit/medewerkers/wetenschappelijk-personeel-g-l/o-glanz/index.aspx
Brenda Kronemeijer-Heyink	ETCBC	http://vu-nl.academia.edu/BrendaKronemeijerHeyink
prof. dr. W.T. Peursen	ETCBC	http://www.godgeleerdheid.vu.nl/nl/over-de-faculteit/medewerkers/wetenschappelijk-personeel-m-s/w-t-van-peursen/index.aspx
Peter Boncz	CS	http://homepages.cwi.nl/~boncz/
Frank van Harmelen	CS	http://www.cs.vu.nl/~frankh/
Rinke Hoekstra	CS	http://www.few.vu.nl/~hoekstra/
Guus Schreiber	CS	http://www.cs.vu.nl/~guus/
Lora Aroyo Homepage	CS	https://loraaroyo.wordpress.com/
Tobias Kuhn	CS	http://www.tkuhn.org/
Plus Ultra	CS	http://sergeterbraake.blogspot.nl/
Antoine Isaac 	CS	http://www.few.vu.nl/~aisaac/
